Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Total, full-time wage and salary workers",total-full-time-wage-and-salary-workers,,"110,387",984,"60,911","1,082","49,476",891,2020
"Management, professional, and related occupations",management-professional-and-related-occupations,,"50,023","1,356","24,090","1,578","25,933","1,164",2020
"Management, business, and financial operations occupations",management-business-and-financial-operations-occupations,management-professional-and-related-occupations,"20,811","1,461","11,082","1,667","9,729","1,274",2020
Management occupations,management-occupations,management-business-and-financial-operations-occupations,"13,517","1,541","7,770","1,737","5,747","1,347",2020
Chief executives,chief-executives,management-occupations,"1,157","2,402",794,"2,712",363,"2,051",2020
General and operations managers,general-and-operations-managers,management-occupations,983,"1,453",702,"1,541",281,"1,241",2020
Legislators,legislators,management-occupations,11,–,9,–,3,–,2020
Advertising and promotions managers,advertising-and-promotions-managers,management-occupations,46,–,19,–,27,–,2020
Marketing managers,marketing-managers,management-occupations,483,"1,537",199,"1,732",284,"1,435",2020
Sales managers,sales-managers,management-occupations,495,"1,794",332,"1,896",163,"1,411",2020
Public relations and fundraising managers,public-relations-and-fundraising-managers,management-occupations,74,"1,344",25,–,50,"1,286",2020
Administrative services managers,administrative-services-managers,management-occupations,62,"1,284",22,–,41,–,2020
Facilities managers,facilities-managers,management-occupations,122,"1,318",89,"1,389",33,–,2020
Computer and information systems managers,computer-and-information-systems-managers,management-occupations,703,"2,018",516,"2,091",187,"1,910",2020
Financial managers,financial-managers,management-occupations,"1,228","1,492",603,"1,880",624,"1,242",2020
Compensation and benefits managers,compensation-and-benefits-managers,management-occupations,14,–,1,–,13,–,2020
Human resources managers,human-resources-managers,management-occupations,264,"1,644",70,"1,748",194,"1,599",2020
Training and development managers,training-and-development-managers,management-occupations,47,–,27,–,20,–,2020
Industrial production managers,industrial-production-managers,management-occupations,248,"1,550",195,"1,582",53,"1,402",2020
Purchasing managers,purchasing-managers,management-occupations,221,"1,544",123,"1,636",98,"1,441",2020
"Transportation, storage, and distribution managers",transportation-storage-and-distribution-managers,management-occupations,266,972,212,989,55,943,2020
"Farmers, ranchers, and other agricultural managers",farmers-ranchers-and-other-agricultural-managers,management-occupations,109,874,92,874,17,–,2020
Construction managers,construction-managers,management-occupations,606,"1,575",556,"1,586",50,"1,368",2020
Education and childcare administrators,education-and-childcare-administrators,management-occupations,846,"1,462",286,"1,590",560,"1,400",2020
Architectural and engineering managers,architectural-and-engineering-managers,management-occupations,155,"2,413",140,"2,402",15,–,2020
Food service managers,food-service-managers,management-occupations,707,877,363,"1,006",344,791,2020
Funeral home managers,funeral-home-managers,management-occupations,6,–,4,–,3,–,2020
Entertainment and recreation managers,entertainment-and-recreation-managers,management-occupations,34,–,24,–,9,–,2020
Lodging managers,lodging-managers,management-occupations,74,888,36,–,38,–,2020
Medical and health services managers,medical-and-health-services-managers,management-occupations,629,"1,555",192,"1,839",438,"1,464",2020
Natural sciences managers,natural-sciences-managers,management-occupations,11,–,3,–,8,–,2020
Postmasters and mail superintendents,postmasters-and-mail-superintendents,management-occupations,19,–,9,–,10,–,2020
"Property, real estate, and community association managers",property-real-estate-and-community-association-managers,management-occupations,433,"1,140",209,"1,182",224,"1,086",2020
Social and community service managers,social-and-community-service-managers,management-occupations,330,"1,234",90,"1,580",240,"1,163",2020
