"Total, full-time wage and salary workers",106526,791,59450,871,47076,719
"Management, professional, and related occupations",43016,1137,20758,1346,22258,981
"--Management, business, and financial operations occupations",17561,1227,9385,1416,8176,1056
----Management occupations,11881,1295,6943,1454,4938,1127
------Chief executives,1077,2023,795,2246,283,1572
------General and operations managers,843,1276,587,1350,256,1136
------Legislators,16,-,6,-,10,-
------Advertising and promotions managers,47,-,20,-,27,-
------Marketing and sales managers,823,1405,451,1624,372,1150
------Public relations and fundraising managers,69,1344,28,-,41,-
------Administrative services managers,114,1163,66,1165,48,-
------Computer and information systems managers,623,1730,453,1763,169,1529
------Financial managers,1133,1325,527,1671,606,1127
------Compensation and benefits managers,16,-,3,-,12,-
------Human resources managers,234,1382,56,1827,178,1300
------Training and development managers,40,-,19,-,20,-
------Industrial production managers,263,1331,220,1383,42,-
------Purchasing managers,180,1329,103,1366,77,1276
"------Transportation, storage, and distribution managers",239,991,188,1014,51,836
"------Farmers, ranchers, and other agricultural managers",106,812,91,818,15,-
------Construction managers,428,1304,395,1332,33,-
------Education administrators,730,1272,279,1439,451,1171
------Architectural and engineering managers,110,1945,103,1975,7,-
------Food service managers,740,704,398,806,342,595
------Funeral service managers,7,-,3,-,4,-
------Gaming managers,15,-,8,-,8,-
------Lodging managers,107,764,47,-,60,809
------Medical and health services managers,541,1266,153,1448,388,1215
------Natural sciences managers,18,-,8,-,10,-
------Postmasters and mail superintendents,29,-,11,-,17,-
"------Property, real estate, and community association managers",385,919,167,976,218,865
------Social and community service managers,332,1008,125,1142,207,978
------Emergency management directors,7,-,5,-,1,-
"------Managers, all other",2609,1322,1626,1412,983,1153
----Business and financial operations occupations,5681,1107,2442,1310,3238,982
"------Agents and business managers of artists, performers, and athletes",35,-,22,-,14,-
"------Buyers and purchasing agents, farm products",12,-,7,-,6,-
"------Wholesale and retail buyers, except farm products",143,859,69,970,74,806
"------Purchasing agents, except wholesale, retail, and farm products",244,945,105,1054,139,897
"------Claims adjusters, appraisers, examiners, and investigators",285,989,110,1093,175,908
------Compliance officers,226,1157,118,1237,108,1092
------Cost estimators,97,1059,85,1074,12,-
------Human resources workers,550,962,147,1257,403,912
"------Compensation, benefits, and job analysis specialists",66,1022,17,-,49,-
------Training and development specialists,118,1091,53,1280,65,955
------Logisticians,83,946,43,-,39,-
------Management analysts,551,1470,322,1665,229,1239
"------Meeting, convention, and event planners",107,997,20,-,88,981
------Fundraisers,72,1122,21,-,51,1013
------Market research analysts and marketing specialists,219,1135,85,1269,134,1002
"------Business operations specialists, all other",174,1098,74,1229,99,944
------Accountants and auditors,1437,1072,526,1236,910,999
------Appraisers and assessors of real estate,51,1009,27,-,24,-
------Budget analysts,44,-,21,-,23,-
------Credit analysts,24,-,11,-,13,-
------Financial analysts,226,1434,133,1493,93,1224
------Personal financial advisors,335,1337,201,1637,134,1004
------Insurance underwriters,106,1142,42,-,64,1003
------Financial examiners,16,-,8,-,8,-
------Credit counselors and loan officers,269,997,108,1188,161,915
"------Tax examiners and collectors, and revenue agents",60,1183,23,-,37,-
------Tax preparers,51,904,13,-,38,-
"------Financial specialists, all other",79,949,30,-,48,-
--Professional and related occupations,25455,1078,11373,1286,14082,948
----Computer and mathematical occupations,3879,1368,2900,1435,979,1165
------Computer and information research scientists,27,-,22,-,5,-
------Computer systems analysts,419,1385,272,1460,147,1259
------Information security analysts,55,1419,47,-,8,-
------Computer programmers,438,1409,354,1447,84,1253
"------Software developers, applications and systems software",1141,1693,917,1736,224,1457
------Web developers,163,1129,105,1245,57,988
------Computer support specialists,503,966,371,1049,132,837
------Database administrators,101,1517,76,1662,25,-
------Network and computer systems administrators,204,1263,162,1286,42,-
------Computer network architects,126,1633,111,1650,15,-
"------Computer occupations, all other",452,1088,343,1122,109,984
------Actuaries,29,-,15,-,14,-
------Mathematicians,2,-,2,-,0,-
------Operations research analysts,134,1276,61,1457,72,1233
------Statisticians,78,1349,39,-,39,-
------Miscellaneous mathematical science occupations,6,-,2,-,4,-
----Architecture and engineering occupations,2527,1377,2150,1413,377,1158
"------Architects, except naval",122,1329,94,1391,29,-
"------Surveyors, cartographers, and photogrammetrists",33,-,27,-,6,-
------Aerospace engineers,143,1642,121,1727,22,-
------Agricultural engineers,5,-,5,-,0,-
------Biomedical engineers,12,-,10,-,2,-
------Chemical engineers,75,1465,64,1570,11,-
------Civil engineers,317,1383,263,1406,53,1275
------Computer hardware engineers,79,1744,70,1795,9,-
------Electrical and electronics engineers,271,1572,242,1568,29,-
------Environmental engineers,40,-,31,-,9,-
"------Industrial engineers, including health and safety",187,1404,155,1464,32,-
------Marine engineers and naval architects,7,-,7,-,0,-
------Materials engineers,33,-,28,-,5,-
------Mechanical engineers,286,1434,259,1453,27,-
"------Mining and geological engineers, including mining safety engineers",18,-,18,-,0,-
------Nuclear engineers,5,-,5,-,0,-
------Petroleum engineers,36,-,26,-,9,-
"------Engineers, all other",362,1463,317,1488,44,-
------Drafters,122,979,102,986,20,-
"------Engineering technicians, except drafters",321,989,253,1066,68,785
------Surveying and mapping technicians,56,879,54,882,2,-
"----Life, physical, and social science occupations",1124,1168,658,1247,466,1062
------Agricultural and food scientists,26,-,16,-,10,-
------Biological scientists,94,1152,54,1356,41,-
------Conservation scientists and foresters,25,-,21,-,3,-
------Medical scientists,137,1267,69,1449,68,1141
"------Life scientists, all other",0,-,0,-,0,-
------Astronomers and physicists,8,-,6,-,2,-
------Atmospheric and space scientists,7,-,7,-,0,-
------Chemists and materials scientists,98,1251,70,1369,28,-
------Environmental scientists and geoscientists,72,1358,55,1388,17,-
"------Physical scientists, all other",179,1447,116,1547,63,1262
------Economists,27,-,16,-,12,-
------Survey researchers,3,-,3,-,0,-
------Psychologists,124,1232,31,-,94,1212
------Sociologists,5,-,1,-,4,-
------Urban and regional planners,23,-,18,-,5,-
------Miscellaneous social scientists and related workers,36,-,20,-,16,-
------Agricultural and food science technicians,36,-,22,-,13,-
------Biological technicians,21,-,13,-,8,-
------Chemical technicians,67,910,45,-,22,-
------Geological and petroleum technicians,23,-,18,-,5,-
------Nuclear technicians,3,-,0,-,3,-
------Social science research assistants,1,-,0,-,1,-
"------Miscellaneous life, physical, and social science technicians",110,851,58,872,53,805
----Community and social service occupations,2005,858,741,934,1264,824
