,,"Total, 16 years and over",,99531,747,55059,824,44472,669
"Management, professional, and related occupations",,,,39145,1063,19009,1256,20136,923
,"Management, business, and financial operations occupations",,,15648,1155,8552,1363,7096,971
,,Management occupations,,10743,1230,6376,1414,4368,1018
,,,Chief executives,1034,1949,769,2217,265,1598
,,,General and operations managers,884,1237,626,1354,258,972
,,,Legislators,9,-1,7,-1,2,-1
,,,Advertising and promotions managers,71,1021,24,-1,47,-1
,,,Marketing and sales managers,854,1335,485,1534,368,1010
,,,Public relations managers,76,1163,33,-1,43,-1
,,,Administrative services managers,96,1241,68,1350,29,-1
,,,Computer and information systems managers,505,1600,353,1729,152,1415
,,,Financial managers,1046,1227,494,1546,552,1022
,,,Human resources managers,245,1308,71,1458,174,1170
,,,Industrial production managers,241,1301,201,1331,40,-1
,,,Purchasing managers,195,1272,110,1394,85,1050
,,,"Transportation, storage, and distribution managers",248,919,208,920,40,-1
,,,"Farm, ranch, and other agricultural managers",96,789,88,780,8,-1
,,,Construction managers,477,1170,448,1189,29,-1
,,,Education administrators,724,1202,278,1396,446,1137
,,,Engineering managers,106,1885,98,1888,8,-1
,,,Food service managers,598,709,308,796,290,626
,,,Funeral directors,27,-1,21,-1,6,-1
,,,Gaming managers,19,-1,13,-1,6,-1
,,,Lodging managers,101,790,54,952,47,-1
,,,Medical and health services managers,494,1251,138,1510,356,1163
,,,Natural sciences managers,21,-1,9,-1,12,-1
,,,Postmasters and mail superintendents,27,-1,7,-1,19,-1
,,,"Property, real estate, and community association managers",336,869,156,1111,180,726
,,,Social and community service managers,289,968,87,1163,202,915
,,,"Managers, all other",1922,1242,1219,1395,703,1045
,,Business and financial operations occupations,,4905,1036,2177,1227,2728,914
,,,"Agents and business managers of artists, performers, and athletes",21,-1,9,-1,12,-1
,,,"Purchasing agents and buyers, farm products",11,-1,6,-1,5,-1
,,,"Wholesale and retail buyers, except farm products",130,798,67,895,63,756
,,,"Purchasing agents, except wholesale, retail, and farm products",210,990,101,1127,110,907
,,,"Claims adjusters, appraisers, examiners, and investigators",253,904,108,1055,144,810
,,,"Compliance officers, except agriculture, construction, health and safety, and transportation",183,1162,99,1295,84,1013
,,,Cost estimators,102,1064,93,1083,10,-1
,,,"Human resources, training, and labor relations specialists",743,941,212,1101,531,874
,,,Logisticians,57,907,31,-1,26,-1
,,,Management analysts,398,1335,212,1554,186,1164
,,,Meeting and convention planners,49,-1,10,-1,39,-1
,,,Other business operations specialists,210,973,85,1126,125,846
,,,Accountants and auditors,1372,1065,561,1273,811,953
,,,Appraisers and assessors of real estate,53,870,33,-1,21,-1
,,,Budget analysts,47,-1,18,-1,29,-1
,,,Credit analysts,24,-1,12,-1,12,-1
,,,Financial analysts,88,1421,49,-1,39,-1
,,,Personal financial advisors,293,1381,197,1647,96,962
,,,Insurance underwriters,120,1102,48,-1,72,970
,,,Financial examiners,9,-1,3,-1,7,-1
,,,Loan counselors and officers,334,948,158,1154,176,823
,,,"Tax examiners, collectors, and revenue agents",72,829,24,-1,48,-1
,,,Tax preparers,54,1061,17,-1,37,-1
,,,"Financial specialists, all other",71,830,24,-1,47,-1
,Professional and related occupations,,,23497,1008,10457,1179,13040,900
,,Computer and mathematical occupations,,3202,1289,2395,1349,807,1135
,,,Computer scientists and systems analysts,681,1220,474,1295,207,1013
,,,Computer programmers,429,1218,333,1243,96,1177
,,,Computer software engineers,973,1549,773,1590,200,1445
,,,Computer support specialists,350,949,256,979,95,835
,,,Database administrators,90,1249,61,1411,29,-1
,,,Network and computer systems administrators,215,1207,178,1224,37,-1
,,,Network systems and data communications analysts,298,1171,229,1242,69,1010
,,,Actuaries,21,-1,15,-1,7,-1
,,,Mathematicians,5,-1,2,-1,3,-1
,,,Operations research analysts,105,1339,58,1444,47,-1
,,,Statisticians,31,-1,16,-1,15,-1
,,,Miscellaneous mathematical science occupations,2,-1,1,-1,1,-1
,,Architecture and engineering occupations,,2366,1255,2073,1293,293,1040
,,,"Architects, except naval",122,1209,85,1329,36,-1
,,,"Surveyors, cartographers, and photogrammetrists",29,-1,25,-1,5,-1
,,,Aerospace engineers,121,1593,111,1662,10,-1
,,,Agricultural engineers,1,-1,1,-1,  -,   -   
,,,Biomedical engineers,11,-1,10,-1,2,-1
,,,Chemical engineers,68,1505,57,1516,11,-1
,,,Civil engineers,276,1332,250,1363,26,-1
,,,Computer hardware engineers,63,1519,57,1525,6,-1
,,,Electrical and electronics engineers,298,1459,277,1500,21,-1
,,,Environmental engineers,32,-1,25,-1,7,-1
,,,"Industrial engineers, including health and safety",157,1239,127,1300,30,-1
,,,Marine engineers and naval architects,13,-1,12,-1,1,-1
,,,Materials engineers,38,-1,34,-1,4,-1
,,,Mechanical engineers,282,1337,265,1337,17,-1
,,,"Mining and geological engineers, including mining safety engineers",13,-1,13,-1,  -,   -   
